Geography Type,Geography,Age Range,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Year,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,23.2,17.5 - 28.8,772,0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,39.2,32.7 - 45.6,613,0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 30 - Nov 26,2022,Monthly,28.4,22.2 - 34.5,569,0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Nov 27 - Dec 31,2022,Monthly,30.9,25.4 - 36.4,774,0
National Estimates,National,5-17 years,Health Insurance,Other Insurance,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 1 - January 28,2023,Monthly,31,27.5 - 34.5,"2,396",0
National Estimates,National,5-17 years,Health Insurance,Other Insurance,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 29 - February 25,2023,Monthly,25.6,22.6 - 28.6,"2,694",0
National Estimates,National,5-17 years,Health Insurance,Other Insurance,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),February 26 - March 25,2023,Monthly,25.8,22.9 - 28.7,"2,655",0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,2.3,1.6 - 3.0,"5,041",0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,6.4,5.2 - 7.6,"6,572",0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,2.9,1.8 - 3.9,"4,448",0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),March 26 - April 29,2023,Monthly,19.8,12.4 - 27.3,324,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,21.8,12.1 - 31.4,298,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,42.9,31.9 - 54.0,206,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 30 - Nov 26,2022,Monthly,34.7,22.9 - 46.5,223,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Nov 27 - Dec 31,2022,Monthly,22.9,14.2 - 31.6,295,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 1 - January 28,2023,Monthly,27.3,20.3 - 34.3,583,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),January 29 - February 25,2023,Monthly,24.8,18.9 - 30.7,685,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),February 26 - March 25,2023,Monthly,26,19.7 - 32.2,728,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),March 26 - April 29,2023,Monthly,20.9,15.0 - 26.8,709,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,23.8,17.8 - 29.8,663,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,49.2,41.5 - 57.0,539,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 30 - Nov 26,2022,Monthly,38.1,30.5 - 45.8,625,0
National Estimates,National,5-17 years,Poverty and Income,Unknown income,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Nov 27 - Dec 31,2022,Monthly,30.5,25.0 - 36.0,825,0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,5.7,4.6 - 6.8,"6,611",0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,6,4.9 - 7.2,"7,704",0
National Estimates,National,5-17 years,Age,5 � 11 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,6,4.8 - 7.2,"6,162",0
National Estimates,National,5-17 years,Race/Ethnicity,"White, non-Hispanic",Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),March 26 - April 29,2023,Monthly,21.8,18.6 - 25.0,"1,967",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 29 - Jun 30,2022,Monthly,25.6,22.1 - 29.1,"2,090",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jul 1 - Jul 30,2022,Monthly,25.2,21.8 - 28.7,"2,359",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jul 31 - Aug 27,2022,Monthly,24.8,21.1 - 28.5,"1,958",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,22.6,18.4 - 26.9,"1,470",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,29.2,24.5 - 34.0,"1,156",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Oct 30 - Nov 26,2022,Monthly,24.9,20.3 - 29.5,"1,003",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Nov 27 - Dec 31,2022,Monthly,29.2,25.0 - 33.4,"1,617",0
National Estimates,National,5-17 years,Race/Ethnicity,Hispanic/Latino,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Nov 28 - Dec 31,2021,Monthly,14.8,11.9 - 17.8,"1,914",0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,January 1 - January 28,2023,Monthly,33.9,27.2 - 40.5,745,0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jan 2  - Jan 29,2022,Monthly,20.6,15.5 - 25.6,"1,022",0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,January 29 - February 25,2023,Monthly,34.1,28.3 - 39.9,901,0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jan 30 - Feb 26,2022,Monthly,22,16.3 - 27.8,"1,084",0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,February 26 - March 25,2023,Monthly,31.5,25.6 - 37.5,912,0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Feb 27 - Mar 26,2022,Monthly,24.6,19.4 - 29.8,"1,096",0
National Estimates,National,5-17 years,Race/Ethnicity,Multi,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,March 26 - April 29,2023,Monthly,30.8,25.3 - 36.4,"1,145",0
National Estimates,National,5-11 years,Race/Ethnicity,"White, non-Hispanic",Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jul 1 - Jul 30,2022,Monthly,31.3,29.1 - 33.5,"3,947",0
National Estimates,National,5-11 years,Sex,Female,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),January 1 - January 28,2023,Monthly,34.5,30.8 - 38.2,"1,824",0
National Estimates,National,5-11 years,Sex,Female,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 2  - Jan 29,2022,Monthly,27.9,25.1 - 30.8,"2,239",0
National Estimates,National,5-17 years,Sex,Male,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),April 30 - May 27,2023,Monthly,20.6,17.1 - 24.1,"1,880",0
National Estimates,National,5-17 years,Sex,Male,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 1 - Oct 29 ,2022,Monthly,45.1,40.5 - 49.7,"1,530",0
National Estimates,National,5-17 years,Sex,Male,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Oct 30 - Nov 26,2022,Monthly,40.5,35.8 - 45.2,"1,577",0
National Estimates,National,5-17 years,Sex,Male,Bivalent vaccination and intent 4 level grouping (among completed primary series),Definitely will get an updated bivalent booster (among completed primary series),Nov 27 - Dec 31,2022,Monthly,31.5,27.8 - 35.2,"2,096",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,2.4,1.6 - 3.2,"5,727",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,11.3,9.9 - 12.6,"7,508",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,2.4,1.7 - 3.1,"6,469",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,6.2,5.1 - 7.3,"7,935",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,2.1,1.3 - 2.9,"6,387",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,5.4,4.4 - 6.4,"8,177",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,1.5,1.0 - 2.0,"7,275",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,4.8,3.9 - 5.6,"9,587",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,1.8,1.2 - 2.4,"6,643",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,3.6,2.9 - 4.4,"8,741",0
National Estimates,National,5-17 years,All children 5 � 17 years,All children 5 � 17 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,4.2,3.4 - 4.9,"9,780",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 2  - Jan 29,2022,Monthly,18.2,14.5 - 21.8,813,0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 30 - Feb 26,2022,Monthly,24.3,20.1 - 28.6,"1,105",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Feb 27 - Mar 26,2022,Monthly,20.9,17.4 - 24.5,"1,157",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,0.3,0.0 - 0.6,956,0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,5.8,3.3 - 8.4,"1,450",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,0.8,0.2 - 1.4,"1,263",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,4,2.0 - 5.9,"1,475",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,1.3,0.2 - 2.4,"1,006",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,3,1.3 - 4.8,"1,117",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,4.2,2.5 - 5.9,"1,502",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,3.8,2.2 - 5.4,"1,792",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,4,1.8 - 6.1,"1,337",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,4.6,1.8 - 7.5,864,0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,2.1,0.6 - 3.6,"1,000",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,1.9,0.1 - 3.6,854,0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 27 - Dec 31,2022,Monthly,2.9,1.0 - 4.8,"1,106",0
National Estimates,National,5-17 years,Metropolitan statistical area,Rural,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,13.3,9.9 - 16.7,"1,511",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,1.9,0.9 - 2.9,"2,761",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,10.1,8.3 - 11.8,"3,766",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Mar 27 - Apr 30,2022,Monthly,25.3,21.9 - 28.7,"1,472",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),April 30 - May 27,2023,Monthly,28.5,24.2 - 32.8,"1,084",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),May 1 - May 28,2022,Monthly,25,21.5 - 28.6,"1,285",0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,7.8,5.7 - 9.9,"1,754",0
National Estimates,National,5-17 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,2.8,1.3 - 4.2,"1,633",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,2.1,1.2 - 3.1,"3,115",0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,February 26 - March 25,2023,Monthly,36.8,30.9 - 42.7,652,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Feb 27 - Mar 26,2022,Monthly,34.1,28.1 - 40.1,703,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,March 26 - April 29,2023,Monthly,37.3,31.2 - 43.4,716,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Mar 27 - Apr 30,2022,Monthly,34.5,29.3 - 39.7,905,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,April 30 - May 27,2023,Monthly,43.9,37.0 - 50.8,614,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 1 - May 28,2022,Monthly,33.5,28.2 - 38.9,886,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,May 29 - Jun 30,2022,Monthly,30.3,25.2 - 35.3,930,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jul 1 - Jul 30,2022,Monthly,30.7,25.2 - 36.3,948,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Jul 31 - Aug 27,2022,Monthly,36.2,30.0 - 42.4,731,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,29,22.2 - 35.8,601,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,38,31.0 - 45.0,504,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Oct 30 - Nov 26,2022,Monthly,34.5,27.6 - 41.4,501,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Probably or definitely will not get vaccinated,Nov 27 - Dec 31,2022,Monthly,36.8,30.7 - 43.0,707,0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jul 1 - Jul 30,2022,Monthly,29.3,25.9 - 32.8,"1,661",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jul 31 - Aug 27,2022,Monthly,27.8,24.1 - 31.5,"1,335",0
National Estimates,National,5-11 years,Health Insurance,Any Medicaid,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Aug 28 - Sept 30 ,2022,Monthly,26.2,22.1 - 30.3,965,0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,6,4.7 - 7.3,"3,699",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,2.1,1.1 - 3.1,"3,189",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,5.2,3.8 - 6.6,"3,812",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,1.6,0.9 - 2.3,"3,240",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,4.2,3.2 - 5.2,"4,424",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,1.6,0.8 - 2.4,"2,878",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,3.8,2.7 - 4.8,"3,989",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,4.1,3.1 - 5.2,"4,629",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,4.2,3.2 - 5.2,"5,566",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,3.8,2.9 - 4.8,"4,573",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,3.4,2.1 - 4.6,"2,943",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,3.2,2.0 - 4.4,"2,495",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 30 - Nov 26,2022,Monthly,2,1.1 - 2.9,"2,744",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 27 - Dec 31,2022,Monthly,1.8,1.1 - 2.5,"3,632",0
National Estimates,National,5-17 years,Metropolitan statistical area,Suburban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,15.7,13.8 - 17.6,"4,897",0
National Estimates,National,5-17 years,Metropolitan statistical area,Urban,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,3.1,1.4 - 4.9,"1,809",0
National Estimates,National,5-11 years,Sex,Male,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Nov 28 - Dec 31,2021,Monthly,20.4,18.3 - 22.4,"3,297",0
National Estimates,National,5-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,4.5,2.4 - 6.6,"1,332",0
National Estimates,National,5-17 years,Age,12 � 15 years,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,1.1,0.4 - 1.9,"1,393",0
National Estimates,National,5-17 years,Poverty and Income,"At or above poverty, income >= $75k",Vaccination and intent 4 level grouping,Definitely will get vaccinated,Nov 28 - Dec 31,2021,Monthly,12,10.1 - 13.8,"4,373",0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 1 - January 28,2023,Monthly,3.1,1.2 - 5.1,556,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 2  - Jan 29,2022,Monthly,19.4,14.1 - 24.7,625,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,January 29 - February 25,2023,Monthly,3.6,1.3 - 5.9,603,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jan 30 - Feb 26,2022,Monthly,10.6,6.8 - 14.4,711,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,February 26 - March 25,2023,Monthly,5,1.9 - 8.1,652,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Feb 27 - Mar 26,2022,Monthly,6.9,3.6 - 10.2,703,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,March 26 - April 29,2023,Monthly,1.4,0.3 - 2.5,716,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Mar 27 - Apr 30,2022,Monthly,5.1,2.9 - 7.2,905,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,April 30 - May 27,2023,Monthly,3.4,1.1 - 5.6,614,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 1 - May 28,2022,Monthly,6.1,3.5 - 8.7,886,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,May 29 - Jun 30,2022,Monthly,8,5.0 - 11.0,930,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 1 - Jul 30,2022,Monthly,6.2,3.4 - 9.1,948,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Jul 31 - Aug 27,2022,Monthly,4.8,2.2 - 7.3,731,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Aug 28 - Sept 30 ,2022,Monthly,8,3.7 - 12.4,601,0
National Estimates,National,5-17 years,Poverty and Income,Below poverty,Vaccination and intent 4 level grouping,Definitely will get vaccinated,Oct 1 - Oct 29 ,2022,Monthly,6.3,2.8 - 9.9,504,0
National Estimates,National,5-11 years,Sex,Female,Vaccination and intent 4 level grouping,Vaccinated (>=1 dose),Jan 30 - Feb 26,2022,Monthly,31.2,28.2 - 34.2,"2,595",0
